,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,target,w_1servewon_per,l_1servewon_per,break_points_made,break_points_recieved
34330,10,2,52,28,24,12,8,1,2,2,2,52,30,18,6,8,4,9,1,85,60,5,1
34637,4,1,93,49,37,30,16,0,1,1,5,94,47,37,25,16,0,2,1,75,78,2,1
35372,3,2,58,38,25,9,8,3,5,2,2,46,26,15,3,8,4,10,1,65,57,6,2
35602,8,1,42,32,25,3,7,2,3,0,2,48,19,9,13,7,6,10,1,78,47,4,1
35611,3,4,82,50,36,14,12,7,9,7,0,85,55,33,17,13,9,14,1,72,60,5,2
35811,8,4,72,46,33,12,9,3,4,2,3,67,43,25,11,9,6,10,1,71,58,4,1
35819,6,1,69,36,24,18,9,3,5,2,3,57,28,14,15,10,4,9,1,66,50,5,2
35824,8,2,55,37,28,7,8,3,4,3,5,69,45,26,9,9,6,11,1,75,57,5,1
35826,4,2,96,59,42,21,15,6,9,3,2,92,65,40,17,15,3,7,1,71,61,4,3
36150,8,1,64,37,28,16,10,3,4,0,3,68,45,31,10,10,5,8,1,75,68,3,1
36162,8,1,59,35,25,15,9,2,3,1,1,46,41,22,3,9,0,4,1,71,53,4,1
36353,6,8,134,96,67,13,18,11,16,12,9,115,54,45,26,18,5,10,1,69,83,5,5
36363,6,3,94,59,43,24,15,3,4,9,4,80,48,41,20,15,0,1,1,72,85,1,1
36448,10,3,55,33,28,10,10,0,1,0,2,57,36,22,8,10,0,4,1,84,61,4,1
37306,7,5,118,83,60,18,15,12,13,3,1,96,63,46,21,15,6,7,1,72,73,1,1
37316,11,1,60,38,32,15,11,0,0,8,5,67,39,32,12,10,4,5,1,84,82,1,0
37390,8,6,109,67,53,23,16,5,5,9,1,104,74,56,15,16,4,6,1,79,75,2,0
37403,12,1,37,28,27,5,8,0,0,2,2,55,31,19,9,8,2,6,1,96,61,4,0
37449,9,0,72,42,33,15,11,2,3,11,5,72,43,33,9,10,8,11,1,78,76,3,1
37459,11,2,68,48,40,8,13,0,2,2,3,84,53,33,11,12,11,16,1,83,62,5,2
37465,5,3,66,46,36,12,13,1,3,4,1,72,48,36,10,13,4,7,1,78,75,3,2
37485,10,7,111,71,60,17,18,4,6,1,3,108,66,44,20,18,6,11,1,84,66,5,2
37822,15,5,106,61,51,26,16,4,5,15,6,115,65,52,25,17,3,6,1,83,80,3,1
37838,11,6,116,64,50,25,15,5,7,14,3,103,63,46,19,16,4,6,1,78,73,2,2
37851,8,0,45,30,24,9,9,2,3,0,6,49,25,18,8,9,2,6,1,80,72,4,1
38460,16,6,104,66,47,20,15,8,11,8,6,102,66,51,18,15,4,6,1,71,77,2,3
38468,8,4,49,31,25,10,9,3,4,1,2,74,49,28,11,9,6,10,1,80,57,4,1
38640,2,4,81,47,33,21,12,3,5,2,3,79,52,36,13,12,8,10,1,70,69,2,2
38643,6,1,69,47,34,14,11,5,6,2,5,73,40,28,14,11,8,12,1,72,70,4,1
38763,8,1,55,36,33,8,9,3,3,1,1,56,33,17,13,8,2,5,1,91,51,3,0
38772,6,1,78,49,41,19,15,2,3,3,2,104,67,43,23,16,7,10,1,83,64,3,1
38777,5,1,42,20,18,16,9,0,1,0,2,59,40,24,8,9,5,9,1,90,60,4,1
38779,10,5,80,46,34,17,13,5,8,3,3,87,49,33,18,12,9,13,1,73,67,4,3
38825,11,7,142,98,78,22,21,8,9,6,9,142,85,59,31,21,3,7,1,79,69,4,1
39153,12,2,88,51,36,19,11,9,11,11,6,100,61,39,17,11,11,14,1,70,63,3,2
39165,4,4,96,58,45,21,15,3,4,13,2,103,63,51,19,16,4,5,1,77,80,1,1
39371,10,4,61,38,33,12,11,1,2,2,1,66,33,24,20,11,3,5,1,86,72,2,1
39403,6,5,124,66,45,34,17,10,12,7,5,108,61,45,23,17,6,10,1,68,73,4,2
39470,6,5,77,39,26,21,13,4,7,6,2,80,47,35,13,13,8,12,1,66,74,4,3
39547,8,3,40,30,27,5,8,0,0,1,2,36,22,10,6,7,0,4,1,90,45,4,0
39675,2,2,117,65,47,30,16,7,8,1,6,115,55,39,31,16,10,14,1,72,70,4,1
40174,10,0,44,32,25,8,8,1,1,1,3,59,41,23,8,9,2,6,1,78,56,4,0
40263,9,5,62,40,35,11,11,1,1,2,2,52,28,22,12,10,0,2,1,87,78,2,0
40347,8,2,89,41,36,28,14,3,4,6,3,82,53,37,12,15,5,10,1,87,69,5,1
40406,10,5,86,52,42,21,14,5,5,2,5,73,51,35,9,13,5,9,1,80,68,4,0
40698,8,2,91,46,39,20,14,5,8,4,7,92,50,32,20,14,8,13,1,84,64,5,3
40733,10,3,97,49,32,30,14,9,11,7,6,78,59,39,11,13,6,9,1,65,66,3,2
40756,8,5,108,73,48,18,16,4,8,9,4,105,72,52,13,15,6,9,1,65,72,3,4
40855,8,7,60,27,19,17,10,5,8,4,8,67,33,23,11,10,5,10,1,70,69,5,3
40870,7,7,59,31,24,13,9,2,3,2,4,73,39,24,15,9,11,15,1,77,61,4,1
40879,5,4,63,32,24,16,9,3,4,3,4,69,31,22,14,10,8,13,1,75,70,5,1
40883,9,2,74,45,36,15,11,1,2,9,3,75,42,36,13,11,2,4,1,80,85,2,1
40885,5,1,39,23,19,10,7,1,1,0,5,52,22,11,11,7,7,12,1,82,50,5,0
40886,8,7,62,33,29,14,10,1,1,8,2,63,37,28,12,10,6,8,1,87,75,2,0
40909,17,3,79,56,50,12,15,0,0,0,4,97,61,42,18,15,9,13,1,89,68,4,0
40962,8,2,94,53,45,25,19,5,8,4,6,112,55,40,27,19,6,12,1,84,72,6,3
41099,6,3,58,37,31,7,9,5,6,0,2,48,29,18,7,8,0,4,1,83,62,4,1
41108,5,7,68,41,32,12,10,4,5,0,0,55,35,22,10,9,2,5,1,78,62,3,1
41212,3,4,52,29,23,13,10,1,3,2,2,72,51,33,6,10,6,10,1,79,64,4,2
41222,7,3,59,29,21,17,10,1,3,2,1,51,30,18,10,9,4,8,1,72,60,4,2
41227,2,0,60,37,31,17,11,0,0,14,2,57,38,33,8,10,0,1,1,83,86,1,0
41230,12,0,54,35,28,12,9,1,1,4,5,51,32,20,9,9,2,5,1,80,62,3,0
41231,8,1,43,27,25,13,9,1,1,4,3,49,32,23,5,9,2,5,1,92,71,3,0
41255,13,5,99,55,46,23,15,2,3,10,8,116,72,58,19,16,3,4,1,83,80,1,1
41325,5,4,51,31,22,11,8,1,2,2,1,48,34,16,6,7,6,11,1,70,47,5,1
41332,15,6,66,38,32,11,12,3,5,5,3,94,56,39,17,13,11,14,1,84,69,3,2
41374,8,5,69,36,28,18,11,2,3,3,3,60,38,26,8,10,3,6,1,77,68,3,1
41386,6,3,69,34,27,19,10,5,6,1,3,74,33,23,19,10,5,8,1,79,69,3,1
41392,6,4,77,41,35,20,14,3,4,3,1,86,49,34,23,14,3,5,1,85,69,2,1
41440,8,3,41,28,27,6,8,0,0,0,4,39,26,16,4,8,2,6,1,96,61,4,0
41507,10,1,52,33,28,14,10,0,1,17,2,77,52,36,7,10,10,13,1,84,69,3,1
41510,12,3,105,68,48,25,16,8,8,29,5,94,56,46,19,15,2,4,1,70,82,2,0
41515,16,2,54,34,27,13,10,0,1,6,1,60,39,27,7,10,2,6,1,79,69,4,1
41663,7,2,85,56,48,10,15,1,4,4,2,92,56,32,15,14,5,11,1,85,57,6,3
41679,7,4,72,43,34,18,11,4,4,6,4,74,46,27,7,11,10,17,1,79,58,7,0
41720,10,1,65,40,35,18,14,0,0,4,4,77,41,28,14,13,2,7,1,87,68,5,0
41825,6,1,59,30,21,16,9,2,3,4,2,60,38,28,3,10,5,9,1,70,73,4,1
41827,5,1,59,30,21,17,9,6,7,2,5,63,40,28,6,9,4,8,1,70,70,4,1
41829,9,0,38,26,22,10,8,0,0,3,5,66,41,21,13,9,10,14,1,84,51,4,0
41836,8,6,72,37,32,19,14,1,3,2,3,80,44,32,13,14,1,6,1,86,72,5,2
41911,7,0,55,33,27,13,9,2,2,1,2,71,39,25,14,9,7,10,1,81,64,3,0
41918,1,2,60,30,23,16,10,1,2,1,2,74,47,25,14,10,7,11,1,76,53,4,1
41932,8,2,72,55,38,10,10,4,6,4,2,69,38,27,12,10,6,10,1,69,71,4,2
42169,5,4,51,28,24,12,9,0,1,0,4,51,33,18,8,9,6,11,1,85,54,5,1
42230,19,3,106,64,58,29,18,2,2,22,3,111,74,64,20,18,2,2,1,90,86,0,0
42255,9,1,43,26,24,8,8,1,2,0,3,63,38,18,10,7,11,16,1,92,47,5,1
42358,3,2,82,40,28,26,13,2,4,4,3,91,49,32,20,14,5,10,1,70,65,5,2
42363,2,3,66,25,20,21,12,1,4,2,2,78,54,37,9,13,4,8,1,80,68,4,3
42372,2,2,47,28,19,11,7,1,2,0,2,58,30,15,9,8,2,8,1,67,50,6,1
42388,5,4,40,18,15,14,7,0,0,1,2,46,26,15,4,7,3,8,1,83,57,5,0
42411,8,2,94,55,38,24,15,3,5,1,1,99,62,40,22,16,4,7,1,69,64,3,2
42415,5,4,60,25,23,21,10,2,2,0,1,75,48,28,15,9,6,8,1,92,58,2,0
42422,2,0,57,35,19,15,9,3,5,0,1,58,28,16,11,8,9,14,1,54,57,5,2
42436,5,3,72,45,30,13,12,3,6,1,1,68,45,26,13,12,1,6,1,66,57,5,3
42914,7,1,51,28,21,14,8,4,4,0,1,67,37,20,13,8,4,8,1,75,54,4,0
42920,11,4,110,64,44,29,17,0,3,2,4,110,63,44,25,17,3,7,1,68,69,4,3
42934,6,1,55,37,29,11,9,3,3,7,6,59,29,22,11,9,4,7,1,78,75,3,0
43001,15,3,91,60,54,20,18,0,1,3,4,113,69,51,22,17,11,13,1,90,73,2,1
43061,10,4,108,62,53,30,21,1,2,6,2,134,86,61,18,19,8,13,1,85,70,5,1
43341,7,1,43,27,21,10,8,2,3,3,3,41,16,9,9,8,0,5,1,77,56,5,1
43344,19,1,69,38,32,23,11,0,0,4,2,64,39,35,14,11,1,2,1,84,89,1,0
43351,11,5,55,31,26,14,10,2,3,2,1,67,46,29,8,10,3,7,1,83,63,4,1
43365,7,4,58,41,33,9,10,1,1,3,2,60,38,30,7,9,4,6,1,80,78,2,0
43387,4,5,65,37,33,11,10,0,2,4,4,55,29,17,11,9,2,6,1,89,58,4,2
43391,6,2,39,23,22,10,8,0,0,1,2,44,29,17,5,8,5,9,1,95,58,4,0
43398,7,1,42,30,26,8,9,0,1,2,3,63,36,24,10,9,2,6,1,86,66,4,1
43412,3,3,41,25,22,8,7,3,3,2,1,48,28,16,5,8,0,5,1,88,57,5,0
43440,10,1,57,30,27,17,11,2,3,5,7,78,42,28,16,11,3,5,1,90,66,2,1
43441,16,4,81,55,43,11,13,1,2,6,1,69,50,36,12,14,0,3,1,78,72,3,1
43444,9,2,51,28,21,13,9,0,1,4,2,47,26,17,6,8,3,7,1,75,65,4,1
43449,9,2,54,37,28,9,8,3,3,2,1,53,28,18,7,7,5,9,1,75,64,4,0
43460,5,2,51,29,22,17,9,0,1,6,4,75,38,28,14,10,5,9,1,75,73,4,1
43479,8,2,51,34,23,13,10,0,2,2,1,58,33,21,10,10,2,7,1,67,63,5,2
43556,9,7,68,43,36,11,12,2,3,4,8,68,37,24,8,13,1,8,1,83,64,7,1
43612,16,6,115,62,47,26,21,8,14,0,0,142,110,61,15,21,17,26,1,75,55,9,6
43638,27,8,129,80,67,31,23,3,5,14,7,165,85,64,40,23,5,7,1,83,75,2,2
43652,15,5,117,65,49,29,19,10,14,2,5,116,68,45,24,20,4,10,1,75,66,6,4
43659,11,12,129,77,56,30,20,6,8,10,4,111,72,56,15,18,4,8,1,72,77,4,2
43663,10,8,117,55,41,30,16,6,9,2,2,97,59,37,18,16,4,9,1,74,62,5,3
43693,7,0,40,23,18,14,8,0,0,2,2,60,36,18,13,8,8,12,1,78,50,4,0
43694,6,5,78,51,39,13,12,3,4,6,2,68,44,34,11,12,2,5,1,76,77,3,1
43696,12,5,69,42,30,11,11,3,6,3,1,89,52,35,11,11,8,13,1,71,67,5,3
43700,7,2,53,31,25,14,10,2,3,2,5,67,40,29,8,11,4,8,1,80,72,4,1
43836,4,2,57,33,28,10,9,5,6,7,3,48,31,20,4,8,1,5,1,84,64,4,1
43837,6,1,67,43,36,16,12,4,5,9,3,74,49,40,11,12,1,3,1,83,81,2,1
43840,12,2,60,46,42,7,11,0,0,3,5,68,41,31,12,10,3,4,1,91,75,1,0
43845,11,4,88,62,51,8,12,7,9,2,3,85,44,32,19,12,3,6,1,82,72,3,2
43855,9,2,41,31,24,8,8,0,0,0,0,47,32,15,8,8,3,7,1,77,46,4,0
44179,8,3,124,69,52,31,16,5,6,10,0,108,71,54,21,16,4,7,1,75,76,3,1
44208,14,0,103,68,53,13,15,8,10,1,3,82,56,36,16,14,2,5,1,77,64,3,2
44250,6,4,58,32,24,15,11,0,2,4,2,94,57,34,16,12,14,18,1,75,59,4,2
44252,6,0,46,27,22,13,8,2,2,4,1,44,27,14,9,8,3,7,1,81,51,4,0
44254,13,3,65,40,37,13,11,2,3,2,1,65,52,36,6,10,2,4,1,92,69,2,1
44383,13,12,120,63,45,26,19,6,11,3,2,115,75,45,17,18,5,14,1,71,60,9,5
44439,19,2,84,48,39,23,14,3,4,4,1,93,63,38,10,14,6,12,1,81,60,6,1
44466,6,3,76,43,33,22,14,1,1,8,7,86,55,37,10,13,3,8,1,76,67,5,0
44694,7,1,58,29,23,20,11,0,2,1,1,67,41,24,12,11,3,7,1,79,58,4,2
44843,6,0,46,27,24,13,9,0,0,6,1,49,35,25,3,9,1,4,1,88,71,3,0
44853,8,3,56,37,34,8,10,3,3,2,2,76,43,30,16,10,6,8,1,91,69,2,0
44936,4,4,66,43,37,16,13,2,2,1,3,84,54,32,13,12,4,9,1,86,59,5,0
44976,9,1,82,49,41,18,14,2,2,4,2,103,69,41,17,13,13,17,1,83,59,4,0
44996,13,1,77,40,32,20,13,2,4,3,8,89,46,28,15,13,3,10,1,80,60,7,2
45006,7,1,60,31,22,20,11,0,1,1,1,70,44,24,6,12,3,11,1,70,54,8,1
45011,16,3,97,57,51,26,18,0,0,10,1,100,51,40,30,17,0,1,1,89,78,1,0
45324,22,3,62,41,34,13,12,2,3,0,3,83,52,37,9,12,2,6,1,82,71,4,1
45406,17,4,82,51,41,18,14,5,6,14,2,89,52,40,14,13,6,9,1,80,76,3,1
45420,4,4,51,26,20,17,8,5,5,2,1,58,41,24,4,8,6,10,1,76,58,4,0
45425,14,2,83,48,38,21,14,6,7,11,3,102,76,51,9,15,6,10,1,79,67,4,1
45427,7,3,70,51,41,10,11,6,7,12,1,68,47,38,6,11,1,3,1,80,80,2,1
45430,8,2,37,28,27,5,8,0,0,0,0,52,35,18,8,8,2,6,1,96,51,4,0
45437,13,2,78,50,37,15,14,1,3,2,1,80,51,36,11,14,1,6,1,74,70,5,2
45451,7,0,34,25,23,6,6,1,1,3,1,44,32,23,7,6,5,5,1,92,71,0,0
45506,12,3,110,66,51,24,16,3,4,6,1,117,85,63,14,16,8,9,1,77,74,1,1
45507,13,3,82,57,44,12,14,1,4,3,3,117,66,49,19,16,7,11,1,77,74,4,3
45509,10,4,56,38,30,11,9,1,1,3,5,68,40,27,12,9,5,8,1,78,67,3,0
45512,4,2,63,42,31,12,10,5,6,3,7,68,49,34,4,9,6,9,1,73,69,3,1
45513,4,1,54,40,35,5,9,2,2,0,0,60,36,23,12,9,6,9,1,87,63,3,0
45915,3,5,62,39,29,12,11,1,3,3,1,62,41,25,11,11,4,8,1,74,60,4,2
45931,7,3,76,56,39,11,13,1,3,2,4,85,56,32,14,13,9,14,1,69,57,5,2
45938,13,2,76,55,39,10,11,1,3,1,3,79,48,33,13,11,3,6,1,70,68,3,2
45942,4,0,51,29,23,14,8,3,3,6,4,57,38,23,6,8,1,5,1,79,60,4,0
46034,9,1,43,26,22,10,8,3,4,1,3,45,32,13,5,8,3,8,1,84,40,5,1
46050,10,6,98,49,45,27,17,0,1,8,7,129,74,54,26,17,7,9,1,91,72,2,1
46058,11,3,60,38,30,13,10,2,3,0,0,56,34,19,12,9,1,4,1,78,55,3,1
46129,4,2,47,28,23,14,9,0,0,1,1,55,38,26,6,9,4,7,1,82,68,3,0
46144,4,3,57,33,23,15,10,1,3,0,0,62,41,22,10,10,2,6,1,69,53,4,2
46402,13,4,85,52,44,19,15,3,4,14,8,94,44,37,24,14,5,7,1,84,84,2,1
46410,10,3,50,32,27,8,9,0,1,1,2,57,32,20,10,9,5,9,1,84,62,4,1
46414,23,5,115,76,60,20,16,7,9,9,1,99,63,54,23,16,2,2,1,78,85,0,2
46416,11,3,41,30,27,7,8,1,1,4,1,50,38,23,2,8,3,7,1,90,60,4,0
46417,6,5,52,26,23,16,9,4,4,8,3,78,57,36,8,10,4,7,1,88,63,3,0
46457,10,4,51,27,26,8,8,5,6,1,3,45,26,14,6,8,1,6,1,96,53,5,1
46465,7,2,59,39,29,10,9,3,4,0,5,60,39,25,6,9,6,10,1,74,64,4,1
46469,9,2,34,26,24,4,7,0,0,1,2,52,41,23,1,7,6,11,1,92,56,5,0
46690,6,3,52,29,24,15,9,1,1,1,0,54,33,20,11,9,2,5,1,82,60,3,0
46694,7,3,50,35,28,9,9,1,1,2,0,56,34,20,12,9,2,5,1,80,58,3,0
46696,6,1,36,28,22,6,6,3,3,4,4,53,35,23,4,7,4,7,1,78,65,3,0
46697,13,2,98,65,54,15,16,4,5,10,3,98,64,46,18,16,3,6,1,83,71,3,1
46813,15,1,89,65,54,15,16,0,0,12,0,88,58,46,15,15,2,4,1,83,79,2,0
46814,18,5,102,72,55,18,15,3,5,5,2,104,64,46,20,15,6,11,1,76,71,5,2
46815,14,1,107,75,59,19,17,4,4,18,2,109,86,60,15,16,3,4,1,78,69,1,0
46822,3,2,47,28,23,14,9,0,0,1,3,62,43,29,8,9,6,9,1,82,67,3,0
